Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
CYP,2000-01-01,2002-12-31,50,'196,Cyprus,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20002002,2002,g/cap/d,51.7,E,
CYP,2001-01-01,2003-12-31,50,'196,Cyprus,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20012003,2003,g/cap/d,51.3,E,
CYP,2002-01-01,2004-12-31,50,'196,Cyprus,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20022004,2004,g/cap/d,50.7,E,
CYP,2003-01-01,2005-12-31,50,'196,Cyprus,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20032005,2005,g/cap/d,49.3,E,
CYP,2004-01-01,2006-12-31,50,'196,Cyprus,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20042006,2006,g/cap/d,48.3,E,
CYP,2005-01-01,2007-12-31,50,'196,Cyprus,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20052007,2007,g/cap/d,48,E,
CYP,2006-01-01,2008-12-31,50,'196,Cyprus,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20062008,2008,g/cap/d,48.3,E,
CYP,2007-01-01,2009-12-31,50,'196,Cyprus,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20072009,2009,g/cap/d,48.3,E,
CYP,2008-01-01,2010-12-31,50,'196,Cyprus,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20082010,2010,g/cap/d,48.7,E,
CYP,2009-01-01,2011-12-31,50,'196,Cyprus,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20092011,2011,g/cap/d,49,E,
CYP,2010-01-01,2012-12-31,50,'196,Cyprus,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20102012,2012,g/cap/d,49.7,E,
CYP,2011-01-01,2013-12-31,50,'196,Cyprus,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20112013,2013,g/cap/d,48.3,E,
CYP,2012-01-01,2014-12-31,50,'196,Cyprus,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20122014,2014,g/cap/d,47,E,
CYP,2013-01-01,2015-12-31,50,'196,Cyprus,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20132015,2015,g/cap/d,45.7,E,
CYP,2014-01-01,2016-12-31,50,'196,Cyprus,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20142016,2016,g/cap/d,45.7,E,
CYP,2015-01-01,2017-12-31,50,'196,Cyprus,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20152017,2017,g/cap/d,46,E,
CYP,2016-01-01,2018-12-31,50,'196,Cyprus,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20162018,2018,g/cap/d,46,E,
CYP,2017-01-01,2019-12-31,50,'196,Cyprus,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20172019,2019,g/cap/d,48.7,E,
CYP,2018-01-01,2020-12-31,50,'196,Cyprus,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20182020,2020,g/cap/d,50.7,E,
CYP,2000-01-01,2000-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2000,2000,I$,32943.9,X,
CYP,2001-01-01,2001-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2001,2001,I$,33878.9,X,
CYP,2002-01-01,2002-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2002,2002,I$,34739.8,X,
CYP,2003-01-01,2003-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2003,2003,I$,35220.4,X,
CYP,2004-01-01,2004-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2004,2004,I$,36499.2,X,
CYP,2005-01-01,2005-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2005,2005,I$,37723.3,X,
CYP,2006-01-01,2006-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2006,2006,I$,38848,X,
CYP,2007-01-01,2007-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2007,2007,I$,39968.4,X,
CYP,2008-01-01,2008-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2008,2008,I$,40398.7,X,
CYP,2009-01-01,2009-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2009,2009,I$,38536,X,
CYP,2010-01-01,2010-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2010,2010,I$,38398.6,X,
CYP,2011-01-01,2011-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2011,2011,I$,37587.2,X,
CYP,2012-01-01,2012-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2012,2012,I$,35742.7,X,
CYP,2013-01-01,2013-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2013,2013,I$,33465.8,X,
CYP,2014-01-01,2014-12-31,50,'196,Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6126,Value,2014,2014,I$,33235.3,X,
