Gender,Customer_ID,Category,Product_Description,Date,Colour,Size,Quantity_Sold,Sub_Total,Shipping_Fee,Total_Amount,Bill_To_City,Type_Of_Sale
Male,7e7d047bfa05863afdcd220eb161968e,Bottoms,Puma Long Pants Women,44025,Black,XL,1,1500,0,1500,Nairobi,Online
Male,7e7d047bfa05863afdcd220eb161968e,Bottoms,Adidas Truncate,44025,Black,XL,1,1500,0,1500,Nairobi,Online
Male,7e7d047bfa05863afdcd220eb161968e,Bottoms,Adidas Truncate,44025,Gray,S,1,1500,0,1500,Nairobi,Online
Male,7e7d047bfa05863afdcd220eb161968e,Bottoms,Forever 21 Truncate,44025,Black,XL,1,1100,0,1100,Nairobi,Online
Male,7e7d047bfa05863afdcd220eb161968e,Bottoms,Nike Dri-fit Truncate,44025,Black,S,1,1100,0,1100,Nairobi,Online
Male,7e7d047bfa05863afdcd220eb161968e,Jackets,Nike Dri-fit Jacket,44025,Black,M,1,1600,0,1600,Nairobi,Online
Male,7e7d047bfa05863afdcd220eb161968e,Jackets,Nike Dri-fit Jacket,44025,Black,XL,1,1600,0,1600,Nairobi,Online
Male,7e7d047bfa05863afdcd220eb161968e,Jackets,Nike Dri-fit Jacket,44025,Blue,M,1,1600,0,1600,Nairobi,Online
Male,7e7d047bfa05863afdcd220eb161968e,Jackets,Nike Dri-fit Jacket,44025,Blue,XL,1,1600,0,1600,Nairobi,Online
Male,7e7d047bfa05863afdcd220eb161968e,Shorts,Adidas Shorts,44025,Black,XL,1,1300,0,1300,Nairobi,Online
Male,7e7d047bfa05863afdcd220eb161968e,T Shirts,Adidas Tshirts,44025,Light Blue,XL,1,1300,0,1300,Nairobi,Online
Male,7e7d047bfa05863afdcd220eb161968e,T Shirts,Adidas Tshirts,44025,Black,XL,1,1300,0,1300,Nairobi,Online
Male,7e7d047bfa05863afdcd220eb161968e,Shorts,Adidas Shorts,44025,White,XL,1,1300,0,1300,Nairobi,Online
Male,7e7d047bfa05863afdcd220eb161968e,Shorts,Nike PRO Shorts,43921,Black,XL,1,1250,0,1250,Nairobi,Online
Male,7e7d047bfa05863afdcd220eb161968e,Shorts,Nike SB Shorts,43921,Gray,XL,1,1250,0,1250,Nairobi,Online
Female,76102e08a4a0e5e8fb295f38532b50e9,Jackets,Nike (W) Jacket 1Layer #07,44308,Black,M,1,2300,0,2300,Nairobi,Online
Female,76102e08a4a0e5e8fb295f38532b50e9,Bottoms,Nike Compression Pants #07,44308,Gray,M,1,1600,0,1600,Nairobi,Online
Female,76102e08a4a0e5e8fb295f38532b50e9,Bottoms,Nike Jogger Pants (W) #07,44308,Black,M,1,2200,0,2200,Nairobi,Online
Female,76102e08a4a0e5e8fb295f38532b50e9,Jackets,Nike (W) Jacket 1Layer #07,44313,Black,M,-1,2300,0,2300,Nairobi,Online
Female,76102e08a4a0e5e8fb295f38532b50e9,Bottoms,Nike Jogger Pants (W) #07,44313,Black,M,-1,2200,0,2200,Nairobi,Online
Female,76102e08a4a0e5e8fb295f38532b50e9,Joggers,Nike Shield Joggers #07,44312,Black,XL,1,2200,0,2200,Nairobi,Online
Female,76102e08a4a0e5e8fb295f38532b50e9,Jackets,Nike (W) Jacket 1Layer #07,44312,Black,XL,1,2300,0,2300,Nairobi,Online
Female,76102e08a4a0e5e8fb295f38532b50e9,T Shirts,Nike Dri-fit Tshirts #05,44281,Dark Gray,M,1,1600,0,1600,Nairobi,Online
Female,76102e08a4a0e5e8fb295f38532b50e9,Shorts,Nike Dri-fit Shorts #05,44281,Black Green,M,1,1600,0,1600,Nairobi,Online
Female,76102e08a4a0e5e8fb295f38532b50e9,Joggers,Nike Shield Joggers #07,44315,Black,XL,-1,2200,0,2200,Nairobi,Online
Female,76102e08a4a0e5e8fb295f38532b50e9,Jackets,Nike (W) Jacket 1Layer #07,44315,Black,XL,-1,2300,0,2300,Nairobi,Online
Male,5e80283767d51f403226fa272246e93b,Jackets,Puma Iconic T7 Jacket #18,45075,Dark Gray,2XL,1,3200,320,3520,Nairobi,Online
Male,5e80283767d51f403226fa272246e93b,T Shirts,Nike Vapor Men Polo #24,45281,Brown,3XL,1,2400,330,2730,Nairobi,Online
